cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id
jshgk36o,,WHO,Letter to the Editor: Three cases of redetectable positive SARS-CoV-2 RNA in recovered COVID-19 patients with antibodies,,,,unk,,2020,"Fu, Wei; Chen, Qian; Wang, Tao",J Med Virol,,#966660,,,,,218504993.0
gx5bemu4,,WHO,COVID-19 induced change in higher education: Reflections on rapidly transitioning a first-year undergraduate academic literacies unit from face-to-face to online,,,,unk,"The COVID-19 pandemic forced many Australian universities to move all face-to-face teaching online partway through Semester 1, 2020 This rapid shift in teaching mode presented not only pedagogical challenges, but challenges in how best to support staff and students across this transition In this paper, three academic foundations lecturers teaching an undergraduate academic literacies unit at a regional Australian university reflect on their experiences in moving the unit online four weeks into the semester The student cohort consisted of high numbers of non-traditional students and students who did not necessarily have access to the technology and equipment they needed to learn online While the transition presented challenges, working to resolve and adapt to the challenges also presented opportunities to experiment with online learning technology and develop skills and strategies to implement for future cohorts of online students As the higher education sector continues to experience rapid change, it is imperative to continue to develop strategies to support students in their learning during these uncertain times",2020,"Grimmer, R.; Pollard, A.; Rolls, N.",Journal of Academic Language and Learning,,#1050921,,,,,229664186.0
nmolo7rt,,WHO,Baseline characteristics and risk factors for short-term outcomes in 132 COVID-19 patients with diabetes in Wuhan China: A retrospective study,,,,unk,"AIMS: To investigate the clinical characteristics, laboratory findings and high- resolution CT (HRCT) features and to explore the risk factors for in-hospital death and complications of coronavirus disease 2019 (COVID-19) patients with diabetes. METHODS: From Dec 31, 2019, to Apr 5, 2020, a total of 132 laboratory-confirmed COVID-19 patients with diabetes from two hospitals were retrospectively included in our study. Clinical, laboratory and chest CT data were analyzed and compared between the two groups with an admission glucose level of &#8804;11 mmol/L (group 1) and >11 mmol/L (group 2). Logistic regression analyses were used to identify the risk factors associated with in-hospital death and complications. RESULTS: Of 132 patients, 15 died in hospital and 113 were discharged. Patients in group 2 were more likely to require intensive care unit care (21.4% vs. 9.2%), to develop acute respiratory distress syndrome (ARDS) (23.2% vs. 9.2%) and acute cardiac injury (12.5% vs. 1.3%), and had a higher death rate (19.6% vs. 5.3%) than group 1. In the multivariable analysis, patients with admission glucose of >11 mmol/l had an increased risk of death (OR: 7.629, 95%CI: 1.391-37.984) and in-hospital complications (OR: 3.232, 95%CI: 1.393-7.498). Admission d-dimer of &#8805;1.5 µg/mL (OR: 6.645, 95%CI: 1.212-36.444) and HRCT score of &#8805;10 (OR: 7.792, 95%CI: 2.195-28.958) were associated with increased odds of in-hospital death and complications, respectively. CONCLUSIONS: In COVID-19 patients with diabetes, poorly-controlled blood glucose (>11 mmol/L) may be associated with poor outcomes. Admission hyperglycemia, elevated d-dimer and high HRCT score are potential risk factors for adverse outcomes and death.",2020,"Li, Yumin; Han, Xiaoyu; Alwalid, Osamah; Cui, Yue; Cao, Yukun; Liu, Jia; Gu, Jin; Wang, Lixia; Fan, Yanqing; Shi, Heshui",Diabetes Res Clin Pract,,#622036,,,,,220303440.0
1whyft8z,,WHO,Implementation of Correlation and Regression Models for Health Insurance Fraud in Covid-19 Environment using Actuarial and Data Science Techniques,,,,unk,"Fraud acts as a major deterrent to a companys growth if uncontrolled. It challenges the fundamental value of Trust in the Insurance business. COVID-19 brought additional challenges of increased potential fraud to health insurance business. This work describes implementation of existing and enhanced fraud detection methods in the pre-COVID-19 and COVID-19 environments. For this purpose, we have developed an innovative enhanced fraud detection framework using actuarial and data science techniques. Triggers specific to COVID-19 are identified in addition to the existing triggers. We have also explored the relationship between insurance fraud and COVID-19. To determine this we calculated Pearson correlation coefficient and fitted logarithmic regression model between fraud in health insurance and COVID-19 cases. This work uses two datasets: health insurance dataset and Kaggle dataset on COVID-19 cases for the same select geographical location in India. Our experimental results shows Pearson correlation coefficient of 0.86, which implies that the month on month rate of fraudulent cases is highly correlated with month on month rate of COVID-19 cases. The logarithmic regression performed on the data gave the r-squared value of 0.91 which indicates that the model is a good fit. This work aims to provide much needed tools and techniques for health insurance business to counter the fraud.",2021,"Gupta, Rohan Yashraj Mudigonda Satya Sai Baruah Pallav Kumar Kandala Phani Krishna",,,#ppcovidwho-311757,,,,,231847122.0
yu81yjfn,,WHO,Quantitative Method for Comparative Assessment of Particle Removal Efficiency of Fabric Masks as Alternatives to Standard Surgical Masks for PPE,,,,unk,"In response to the COVID-19 pandemic, cloth masks are being used to control the spread of virus, but the efficacy of these loose-fitting masks is not well known. Here, tools and methods typically used to assess tight-fitting respirators were modified to quantify the efficacy of community-produced and commercially produced fabric masks as personal protective equipment. Two particle counters concurrently sample ambient air and air inside the masks; mask performance is evaluated by mean particle removal efficiency and statistical variability when worn as designed and with a nylon overlayer, to independently assess fit and material. Worn as designed, both commercial surgical masks and cloth masks had widely varying effectiveness (53%-75% and 28%-91% particle removal efficiency, respectively). Most surgical-style masks improved with the nylon overlayer, indicating poor fit. This rapid testing method uses widely available hardware, requires only a few calculations from collected data, and provides both a holistic and aspect-wise evaluation of mask performance.",2020,"Mueller, Amy V; Eden, Matthew J; Oakes, Jessica M; Bellini, Chiara; Fernandez, Loretta A",Matter,,#covidwho-643811,,,,,220433829.0
0xfcm4yx,,WHO,Novel COVID-19 Intersections with Dentistry: Approaches to protection,,,,unk,"Background: COVID-19 outbreak brought many challenges to the society and to health care systems Health care professionals in dental practices are a high-risk population, due to close contact to saliva and aerosols Specific guidance for those professionals is essential to control disease transmission and guarantee dentist's health Material and Methods: We performed a literature review based on online search in Pubmed, Scientific Electronic Library, Literatura Latino-Americana e do Caribe em Ciencias da Saude and Scopus databases Included articles were fully read and analysed regarding infection control measurements, use of personal protective equipment (PPE), conditions for procedures and use of mouthrinse Results: Nineteen articles were added to this review The majority of them recommended maintaining only urgency treatments, with use of rubber dam and mouthrinse before procedures Conclusions: The data collected suggests dental care should be performed under strict protection measures such as a pre-check questionnaire prior to any dental procedure;postponing elective dental treatments and following infection control security procedures may be strategic at this point The use of adequate PPE for procedures is recommended Supplementary measures should rise from further understanding of the pandemics Key words: COVID-19, dentistry, practice",2021,"Lourenco, S.; Lopes, J. V.; Boog, G. H.; Chinelatto, L.; Hojaij, F.",Journal of Clinical &amp; Experimental Dentistry,,#covidwho-1178511,,,,,233182457.0
3w9yn0pl,eb660cff247b030f458738646807dedc78f4a6ed,Medline; PMC,"Is Bhasan Char Island, Noakhali district in Bangladesh a sustainable place for the relocated Rohingya displaced people? An empirical study",10.1007/s43545-021-00281-9,PMC8606240,34841265,no-cc,"More than one million forcefully displaced Myanmar nationals, known as Rohingyas, are currently living in the 34 camps in the Cox’s Bazar district in Bangladesh. To reduce the pressure of Rohingyas in Cox’s Bazar, the government of Bangladesh has started the process of relocating some of the Rohingyas to Bhasan Char Island located in Noakhali district, Bangladesh. However, some international organisations, NGOs, and some people expressed their concerns over this relocation process. This article, thus, offers an evidence-based holistic perspective that explains the available facilities and opportunities that could bring a new hope instead of a threat to Rohingyas. Through a multi-method research approach, the paper argues that the Island is suitable for the displaced Rohingya people. It also explores that the relocation project has opportunities for Rohingyas to engage in some livelihood activities. The Island is stable and livable on a temporary basis and has adequate safety and security measures–embankments, wave breakers, shelter centers, and modern housing facilities–have been undertaken. This article, thus, concludes that Bhasan Char can offer a new hope–not a place with threats, for the Rohingya displaced people, to live temporarily before their repatriation to Myanmar.",2021-11-22,"Islam, Md Rafiqul; Islam, Md Touhidul; Alam, Mohammad Shaheenur; Hussain, Maria; Haque, Muhammad Mazedul",SN Soc Sci,,,,document_parses/pdf_json/eb660cff247b030f458738646807dedc78f4a6ed.json,document_parses/pmc_json/PMC8606240.xml.json,https://www.ncbi.nlm.nih.gov/pubmed/34841265/; https://doi.org/10.1007/s43545-021-00281-9,244488095.0
j133eobr,4539aaeb8dc157d7c5482dd6d78224cb17e8a161,PMC,A Team-Based Roadmap for Healthcare Change in a Turbulent Environment: a Longitudinal Study of a Not-for-Profit Hospital Transitioning into a for-Profit Organization,10.1007/s11115-021-00544-2,PMC8413361,,no-cc,"This longitudinal research describes how a 50-person management staff, led by a committed chief executive officer (CEO), was able to successfully implement a team-based structure and strategy to achieve a radical change from a non-profit hospital to a for-profit organization over a 12-year period. Many of the issues addressed and practical steps taken to establish a team-based leadership model for the new organizational template are described. Organization development models, diagnosis, intervention, and specific practices to bring about a successful transition are discussed. Seven principles are presented that contain “The Lessons Learned” from the longitudinal organizational systemic change intervention.",2021-09-03,"Lawrence, Eleanor T.; Tworoger, Leslie Cauthen; Ruppel, Cynthia P.; Mujtaba, Bahaudin G.",Public Organiz Rev,,,,document_parses/pdf_json/4539aaeb8dc157d7c5482dd6d78224cb17e8a161.json,document_parses/pmc_json/PMC8413361.xml.json,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8413361/,
u8z6hd1s,1f20267d296f3ad870a9f2bdafb8c83930293af1,Medline; PMC; WHO,High-titre convalescent plasma therapy for an immunocompromised patient with systemic lupus erythematosus with protracted SARS-CoV-2 infection,10.1136/bcr-2021-244853,PMC8388267,34433539.0,no-cc,"A 39-year-old woman with systemic lupus erythematosus treated with anti-CD20 monoclonal antibody rituximab was admitted to our hospital with COVID-19 pneumonia. Despite receiving dexamethasone, she developed hypoxaemia and persistent lung opacities. As bronchoalveolar lavage was suggestive of cryptogenic organising pneumonia, high-dose corticosteroid was administered, and she received antimicrobial therapy for opportunistic infections without improvement. Reverse transcription PCR was repeatedly positive for SARS-CoV-2, and virus replication was confirmed in cell cultures. As no anti-SARS-CoV-2 antibodies were detected more than 100 days after symptom onset, she was treated with convalescent plasma with fast clinical improvement, returning home days later. Our case shows that persistent SARS-CoV-2 infection in an immunocompromised patient may be overturned with the appropriate treatment.",2021-08-25,"Moutinho-Pereira, Sara; Calisto, Raquel; Sabio, Federico; Guerreiro, Luísa",BMJ Case Rep,,,,document_parses/pdf_json/1f20267d296f3ad870a9f2bdafb8c83930293af1.json,document_parses/pmc_json/PMC8388267.xml.json,https://doi.org/10.1136/bcr-2021-244853; https://www.ncbi.nlm.nih.gov/pubmed/34433539/,237306513.0
88nc065f,,WHO,TNFα-antagonist use and mucosal inflammation are associated with increased intestinal expression of SARS-CoV-2 host protease TMPRSS2 in patients with inflammatory bowel disease,,,,unk,,2020,"Bangma, Amber; Voskuil, Michiel Dirk; Weersma, Rinse K",Gastroenterology,,#609547,,,,,219919830.0
kaxaqgj5,,Medline; WHO,Environmental Sustainability in Respiratory Care: An Overview of the healthCARe-Based envirONmental Cost of Treatment (CARBON) Programme,10.1007/s12325-022-02076-7,,35279810,unk,"INTRODUCTION: Faced with the challenges of climate change, countries are seeking to decarbonise their economies. A greater understanding of what comprises the carbon footprint of care in healthcare systems will identify potential strategies for reduction of greenhouse gas (GHG) emissions. In respiratory care, the focus has been on preventer inhalers, thereby omitting contributions from other aspects such as healthcare resource utilisation (HCRU) and reliever inhaler use. The healthCARe-Based envirONmental cost of treatment (CARBON) programme aims to provide a broader understanding of the carbon footprint associated with respiratory care. METHODS: CARBON will quantify the carbon footprint of medications and HCRU among approximately 2.5 million patients with respiratory diseases from seven ongoing studies spanning more than 40 countries. Across studies, to obtain the carbon footprint of all inhaled, oral, and injectable medications, SimaPro life cycle assessment software modelling resource and energy consumption data, in addition to Ecoinvent® data sets and certified published studies, will be used. The carbon footprint of HCRU in the United Kingdom will be estimated by applying the methodology and data obtained from the Sustainable Healthcare Coalition Care Pathway Guidance. PLANNED OUTCOMES: In asthma, CARBON studies will quantify GHG emissions associated with well-controlled versus not well-controlled asthma, the contribution of short-acting ß2-agonist (SABA) reliever inhalers (and their potential overuse) to the carbon footprint of care, and how implementation of treatment guidelines can drive improved outcomes and footprint reduction. In chronic obstructive pulmonary disease (COPD), CARBON studies will assess the impact of exacerbation history on GHG emissions associated with HCRU and SABA use in subsequent years and estimate the carbon footprint associated with all aspects of COPD care. CONCLUSION: CARBON aims to show that the principle of evidence-led care focused on improvement of clinical outcomes has the potential to benefit patients and the environment.",2022,"Wilkinson, Alex; Maslova, Ekaterina; Janson, Christer; Xu, Yang; Haughney, John; Quint, Jennifer K; Budgen, Nigel; Menzies-Gow, Andrew; Bell, John; Crooks, Michael G",Adv. ther,,#mdl-35279810,,,,https://doi.org/10.1007/s12325-022-02076-7; https://www.ncbi.nlm.nih.gov/pubmed/35279810/,247408361.0
ktm4mn6m,,WHO,Safety of Nuclear Power Plants and Big Safety in a Time of Covid-19,,,,unk,,2020,"Kharchenko, V.; Yastrebenetsky, M.",Nuclear and Radiation Safety,,#covidwho-1168463,,,,,226358401.0
